code,month_label,rental_percentage
2359,8,0.00020321606553041604
2359,9,0.0003175837741180278
2359,10,0.0003687905170090986
2359,11,0.0003135010864786374
2359,12,0.00030869669799264037
236,1,0.0008450285988163539
236,2,0.0007742047332521786
236,3,0.0008444243616651069
236,4,0.0009617647895318296
236,5,0.0009353588517380795
236,6,0.0010479662022575382
236,7,0.0011587004466089726
236,8,0.0010406729069199288
236,9,0.0009389320628428244
236,10,0.0009449807482827599
236,11,0.0009214785677078983
236,12,0.0009119015298685683
2360,1,0.0006314606898860696
2360,2,0.0006380575328795691
2360,3,0.0005632855614297808
2360,4,0.00047733655509845773
2360,5,0.00044547874941268866
2360,6,0.00036698494119128446
2360,7,0.00046820182316880814
2360,8,0.0002724597623236886
2360,9,0.000483796836550549
2360,10,0.0005728697653520172
2360,11,0.0005513378601389257
2360,12,0.0006432426617527997
2361,1,0.0002996743060288871
2361,2,0.0004259075887680024
2361,3,0.0005195362053958942
2361,4,0.0005561891092694194
2361,5,0.0006200282642288071
2361,6,0.0006544426716503719
2361,7,0.0005109309215939226
2361,8,0.0006294459665021769
2361,9,0.000621391082714696
2361,10,0.0006610675105740547
2361,11,0.00044914865426916333
2361,12,0.0005660377358490566
2362,1,0.0005583846645845088
2362,2,0.0006628955429619156
2362,3,0.0006945239886312323
2362,4,0.0006447796791915227
2362,5,0.0006935915246744346
2362,6,0.0008217811775660366
2362,7,0.0006800290557869291
2362,8,0.0009825005951492312
2362,9,0.0010423566023341317
2362,10,0.0007291408240198956
2362,11,0.0006153014977338896
2362,12,0.00043767079717267805
2363,1,0.0001930052384139165
2363,2,0.0002618699319138177
2363,3,0.00016758012033956846
2363,4,0.00020761730654363152
2363,5,0.0002602770401241059
2363,6,0.00031645202603853423
2363,7,0.0003154680245428668
2363,8,0.0004569535622203303
2363,9,0.0004331778299155626
2363,10,0.0003812105552967089
2363,11,0.00017954019815551522
2363,12,0.00019634695872850419
2364,1,0.00034391754649786563
2364,2,0.0004203519401832931
2364,3,0.00047142136628686924
2364,4,0.00036194470692370225
2364,5,0.00030230901651710854
2364,6,0.0002998838571359932
2364,7,0.0003418327874009162
2364,8,0.0003782728164075582
2364,9,0.0004281492315583339
2364,10,0.00047575682397148786
2364,11,0.0004159180855762181
2364,12,0.0003197335712809224
2365,1,0.00024787246348207726
2365,2,0.0004667242946375321
2365,3,0.000555738589086019
2365,4,0.0005460859612899621
2365,5,0.0005976182389734577
2365,6,0.0006262767845160521
2365,7,0.000657300811943783
2365,8,0.0006667688843877225
2365,9,0.0007032853988181357
2365,10,0.0006746821732632229
2365,11,0.00024815731136828477
2365,12,0.000319105772634682
2368,1,0.000401500973807812
2368,2,0.0005332544935297745
2368,3,0.00030281123354127936
2368,4,0.00023918786746700903
2368,5,0.00021342023436933554
2368,6,0.00020875892817201735
2368,7,0.00017637117222281317
2368,8,0.0002138502322090729
2368,9,0.0001989888207074807
2368,10,0.00024128207765803598
2368,11,0.0002561969650843199
2368,12,0.00035307911479451977
2369,1,0.0006335606739239434
2369,2,0.00027767242780516875
2369,3,0.000529851348512218
2369,4,0.0007411146232047252
2369,5,0.0006306912746637148
2369,6,0.0006917210516810893
2369,7,0.0007509411765775447
2369,8,0.0008311914685862078
2369,9,0.0007212446786653813
2369,10,0.0007767921434319842
2369,11,0.0007278566497583816
2369,12,0.0006480721903199344
237,1,0.0010864891657348969
237,2,0.0011534657509365154
237,3,0.0011316216833217856
237,4,0.0010134433030070382
237,5,0.0008524282695216225
237,6,0.0010546931816964255
237,7,0.0008349772766514337
237,8,0.0007950370340166703
237,9,0.0006582432533943241
237,10,0.00048545110746008014
237,11,0.0008618403121780026
237,12,0.0009334982753557177
2370,1,0.0006461458710697373
2370,2,0.0006510794462091683
2370,3,0.0006266247820820994
2370,4,0.0005748253921051161
2370,5,0.0005771862256453875
2370,6,0.0006337324605221956
2370,7,0.0007291220624881245
2370,8,0.0006526466992418404
2370,9,0.0006695219527053141
2370,10,0.0007367045255138779
2370,11,0.0006506759740844443
2370,12,0.0005083334475091722
2371,1,0.00024779172180128256
2371,2,0.00024399716958283817
2371,3,0.00031347486087977263
2371,4,0.0002755981977320614
2371,5,0.00023296767279830702
2371,6,0.00019798961838536568
2371,7,0.00025364720128950966
2371,8,0.0003157317107615086
2371,9,0.00023706249398364125
2371,10,0.0002753187343809564
2371,11,0.00016346089072344494
2371,12,0.00021099188578469041
2372,1,0.0007408997875300225
2372,2,0.0006888512696731976
2372,3,0.0006117496530689612
2372,4,0.0006450338524654742
2372,5,0.0006474152401566916
2372,6,0.000640359728083212
2372,7,0.0006663921094810414
2372,8,0.000617341236377135
2372,9,0.0006702403238992039
2372,10,0.0007155261613307274
2372,11,0.0003183702871549917
2372,12,0.0005620368070836633
2373,1,0.0004071224758837828
2373,2,0.0005353357930469925
